settlement_name,map_type,photo_thumb_url,wikipedia_article_url
Sima,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/Sima
Szögliget,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/Sz%C3%B6gliget
Maróc,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Mar%C3%B3c
Cserénfa,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Somogy_location_map.jpg/960px-Somogy_location_map.jpg,https://hu.wikipedia.org/wiki/Cser%C3%A9nfa
Zselicszentpál,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Somogy_location_map.jpg/960px-Somogy_location_map.jpg,https://hu.wikipedia.org/wiki/Zselicszentp%C3%A1l
Rákóczibánya,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Nograd_location_map.svg/960px-Nograd_location_map.svg.png,https://hu.wikipedia.org/wiki/R%C3%A1k%C3%B3czib%C3%A1nya
Pányok,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/P%C3%A1nyok
Kisbeszterce,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Map-of-Baranya.svg/960px-Map-of-Baranya.svg.png,https://hu.wikipedia.org/wiki/Kisbeszterce
Szentbalázs,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Somogy_location_map.jpg/960px-Somogy_location_map.jpg,https://hu.wikipedia.org/wiki/Szentbal%C3%A1zs
Füzérkajata,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/F%C3%BCz%C3%A9rkajata
Csonkahegyhát,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Csonkahegyh%C3%A1t
Baranyaszentgyörgy,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Map-of-Baranya.svg/960px-Map-of-Baranya.svg.png,https://hu.wikipedia.org/wiki/Baranyaszentgy%C3%B6rgy
Orbányosfa,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Orb%C3%A1nyosfa
Gyűrűs,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Gy%C5%B1r%C5%B1s
Dobronhegy,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Dobronhegy
Milejszeg,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Milejszeg
Nemessándorháza,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Nemess%C3%A1ndorh%C3%A1za
Gosztola,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Gosztola
Bánokszentgyörgy,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/B%C3%A1nokszentgy%C3%B6rgy
Visnye,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Somogy_location_map.jpg/960px-Somogy_location_map.jpg,https://hu.wikipedia.org/wiki/Visnye
Egeraracsa,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Egeraracsa
Nagylengyel,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Nagylengyel
Pálfiszeg,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/P%C3%A1lfiszeg
Palé,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Map-of-Baranya.svg/960px-Map-of-Baranya.svg.png,https://hu.wikipedia.org/wiki/Pal%C3%A9
Mindszentgodisa,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Map-of-Baranya.svg/960px-Map-of-Baranya.svg.png,https://hu.wikipedia.org/wiki/Mindszentgodisa
Gellénháza,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Gell%C3%A9nh%C3%A1za
Nemesszentandrás,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Nemesszentandr%C3%A1s
Gombosszeg,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Gombosszeg
Kaposszerdahely,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Somogy_location_map.jpg/960px-Somogy_location_map.jpg,https://hu.wikipedia.org/wiki/Kaposszerdahely
Nemespátró,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Nemesp%C3%A1tr%C3%B3
Petrikeresztúr,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Petrikereszt%C3%BAr
Tarrós,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Map-of-Baranya.svg/960px-Map-of-Baranya.svg.png,https://hu.wikipedia.org/wiki/Tarr%C3%B3s
Liszó,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Lisz%C3%B3
Pördefölde,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/P%C3%B6rdef%C3%B6lde
Pethőhenye,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Peth%C5%91henye
Barlahida,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Barlahida
Vilyvitány,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/Vilyvit%C3%A1ny
Lickóvadamos,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Lick%C3%B3vadamos
Iborfia,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Iborfia
Pusztaapáti,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Pusztaap%C3%A1ti
Ormándlak,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Orm%C3%A1ndlak
Gagyvendégi,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/Gagyvend%C3%A9gi
Borsodgeszt,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/Borsodgeszt
Gagybátor,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/Gagyb%C3%A1tor
Vázsnok,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Map-of-Baranya.svg/960px-Map-of-Baranya.svg.png,https://hu.wikipedia.org/wiki/V%C3%A1zsnok
Dötk,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/D%C3%B6tk
Surd,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Surd
Nagygörbő,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Nagyg%C3%B6rb%C5%91
Karmacs,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Karmacs
Alibánfa,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Alib%C3%A1nfa
Iharos,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Somogy_location_map.jpg/960px-Somogy_location_map.jpg,https://hu.wikipedia.org/wiki/Iharos
Ortaháza,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Ortah%C3%A1za
Vöckönd,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/V%C3%B6ck%C3%B6nd
Homrogd,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/Homrogd
Alsóvadász,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/Als%C3%B3vad%C3%A1sz
Kozmadombja,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Kozmadombja
Csurgónagymarton,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Somogy_location_map.jpg/960px-Somogy_location_map.jpg,https://hu.wikipedia.org/wiki/Csurg%C3%B3nagymarton
Vindornyafok,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/Vindornyafok
Gősfa,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/G%C5%91sfa
Kálócfa,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/K%C3%A1l%C3%B3cfa
Döbröce,location_map,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Zala_location_map.PNG/960px-Zala_location_map.PNG,https://hu.wikipedia.org/wiki/D%C3%B6br%C3%B6ce
Rásonysápberencs,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/R%C3%A1sonys%C3%A1pberencs
Hernádszurdok,megye_svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,https://hu.wikipedia.org/wiki/Hern%C3%A1dszurdok
