settlement_name,wikipedia_title,description,fetch_status
Nagyhuta,Nagyhuta,,empty
Háromhuta,Háromhuta,"Három (négy), többé-kevésbé különálló településrészből áll, melyek közül Óhuta fekszik legnyugatabbra, a hegységet keresztirányban átszelő országút mentén, Középhuta és Újhuta pedig az úttól több kilométerrel keletebbre. Negyedik településrészének tekinthető az az újabb keletkezésű kis települési alközpont, amely a Közép- és Újhutára vezető elágazás mellett, valamelyest Óhutától is elkülönülten jött létre.",ok
Istenmezeje,Istenmezeje,"Istenmezeje és környéke már a bronzkorban is lakott hely volt, az itt talált leletek szerint. A falu határában 1865-ben késő bronzkori, a pilinyi kultúra korából származó leleteket találtak. Az itt feltárt sírban eltemetett előkelő férfi sírjába beletették a rangját jelző fejdíszét, egy nagyon szép bronzdiadémot is. A koronaszerű fejék az eltemetett férfi csontvázának koponyáján volt, míg a nyak körül egy, ostreaféle kagylók teknőiből szépen faragva és simára csiszolva készült ujjnyi vastagságú gyöngyfüzér szemei feküdtek.",ok
Kissikátor,Kissikátor,"Ózdtól közúton 15, Salgótarjántól 40, Miskolctól 75 kilométerre, a Hangony jobb oldali mellékvölgyében található. Környéke igen szép vidék, vadban gazdag, jelentős erdőállománnyal, ahol manapság medve is felbukkanhat. A település az Árpád-kor óta lakott, először 1379-ben említik. A török időkben elpusztult, nemcsak a törökdúlás, hanem természeti csapások miatt is, de újra benépesült.",ok
Domaháza,Domaháza,"A falu a 2306-os út mentén Miskolctól kb. 70, Ózdtól kb. 17 kilométerre nyugatra fekszik. A település a 13. században jött létre, templomát 1332-ben említik először. Eredeti neve a Hangony-patak közeli forrása után Hangony-fő volt, mai nevét Domahidi János földbirtokosról kapta. A falu nem hódolt be a töröknek, részt vettek Eger várának védelmében, ezért 1517-ben több domaházi család nemesi címet kapott.",ok
Borsodszentgyörgy,Borsodszentgyörgy,"Területe: 124 hektár belterület, 2028 hektár külterület. A szomszédos települések: Ózd 9 kilométerre északkeletre, Arló 6 kilométerre délkeletre, Domaháza és Kissikátor nyugatra és Hangony északra (utóbbi hárommal nincs közvetlen közúti összeköttetése). Ekkor még Disznós volt a neve, később pedig Alsódisznós és Felsődisznós. Eger ostromakor a török sereg feldúlta, s az egri vár eleste után török megszállás alá került.",ok
Répáshuta,Répáshuta,"A két legközelebbi település: Bükkszentkereszt 11 kilométerre keletre és Felsőtárkány 23 kilométerre délnyugatra helyezkedik el. Határos még észak felől Miskolc legnyugatibb külterületeivel, délkelet felől Kisgyőrrel, dél felől Cserépfaluval, délnyugat felől Bükkzsérccel, északnyugat felől pedig Nagyvisnyóval is. Autóbusszal az 1383-as és a 3755-ös járatokkal érhetjük el a települést.",ok
Bükkszentkereszt,Bükkszentkereszt,"Hegyekkel körbezárt völgykatlanban épült, ahol a hóréteg vastagsága január–februárban rendszerint eléri a 30–40 centimétert. Hollóstető is Bükkszentkereszthez tartozik. Éghajlata 600 méteres tengerszint feletti magassága ellenére is kiegyensúlyozott, nincs érezhetően hidegebb, mint az alacsonyabban fekvő településeken. A falut körbezáró hegyek védik az erős szelektől, és a köd is ritkább, mint Miskolcon helyezkedik el.",ok
Járdánháza,Járdánháza,"Miskolctól közúton kb. 65 kilométer-re nyugatra, Ózdtól 6 kilométer-re délre található, a Hangony-patakba torkolló Hódos-patak völgyében, dombsági területen. Mindössze három települési szomszédja van: észak felől Arló, kelet felől Csernely, dél felől pedig Borsodnádasd. Csak közúton érhető el, a 25-ös főúton. A cseh hospesek által elfoglalt terület eredetileg Arlóhoz tartozott.",ok
Vágáshuta,Vágáshuta,"A Zempléni-hegység középső részén helyezkedik el, Pálházától délre, a megyeszékhely Miskolctól mintegy 95 kilométerre keletre. Két különálló településrésze: a belterület északi részén Kispart, a délkeleti részén pedig Nagypart. Határszéle szinte minden irányból Kovácsvágáshoz tartozó külterületekkel érintkezik, csak kelet felől határos egy másik községgel, Mikóházával.",ok
Bárna,Bárna,"A Novohrad-Nógrád UNESCO Globális Geopark települése. Zsáktelepülés, csak közúton közelíthető meg, a Salgótarján-Mátraszele közti 2303-as útból kiágazó 23 106-os úton helyezkedik el. A helység néveredetének kutatói a ""sötét"" értelemben használt ""barna"" melléknév helynevesülését tartják a legvalószínűbbnek, de egyesek a Barna személynévből eredeztetik a falu nevét.",ok
Mátraszentimre,Mátraszentimre,"Tulajdonképpen hat, a Magas-Mátra hegyeiben szétszórtan elhelyezkedő lakott helyekből áll, ezek Mátraszentimre, Mátraszentistván, Mátraszentlászló, Bagolyirtás, Fallóskút és Galyatető. Mátraszentimre a Magas-Mátra hegyvidékén helyezkedik el. Magyarország legmagasabban fekvő települése, (750-835 méter. A legmagasabban fekvő településrésze pedig Galyatető).",ok
Óbánya,Óbánya,"A természeti és épített környezet szépsége miatt Óbányát néha „magyar Svájc” néven is említik. A két domb közt fekvő kis község a Kelet-Mecsek Tájvédelmi Körzet egyik szűk völgykatlanában fekszik. A 6-os főútról Mecseknádasdnál kb. 3,5 kilométer-es letéréssel találhatjuk meg. A zsáktelepülés egyetlen utcájának házai mellett gyors folyású hegyi patak, az Öreg-patak fut végig.",ok
Somoskőújfalu,Somoskőújfalu,"Somoskőújfalu az Északi-középhegységben, azon belül is a Cserhát északkeleti vonulatában helyezkedik el. Salgótarjántól északra, a Karancs és a Medves közti völgyben fekszik. A Karancs és a Medves hegységeket általában együtt említik, mintha egy hegységről lenne szó, pedig származástanilag a Karancs a 25 millió éves Cserháthoz, a Medves pedig a mindössze 1,5–2 millió éves ajnácskői bazaltvidékhez sorolható.",ok
Borsodnádasd,Borsodnádasd,"Létrejöttéről nem áll rendelkezésre oklevél, vagy más irat. Az első okleveles említése 1327-ből való Nádasd néven helyezkedik el. Nevét a völgy kiszélesedésében található nádasról kapta. A középkorban többek között a Nádasdy család birtoka volt. A török többször felégeti, hódoltsági terület, lakossága jelentősen csökkent. Az 1700-as évektől kezdett újra benépesülni.",ok
Szilaspogony,Szilaspogony,"Cereddel, Zabarral és Istenmezejével mellékutak kötik össze. Döntően a Szilas- és az Ortvány-patak határozza meg a település fekvését. Pár kilométerre a falutól található magasabb hegycsúcs a „Kiskő”, és egy kicsit távolabb - Bárnához közelebb - fekszik a „Nagykő”. Szilaspogony a Novohrad-Nógrád UNESCO Globális Geopark települése. A települést 1405-ben már említi oklevél Pogon alakban írva. 1715-ben 5 és 1720-ban 4 magyar háztartást írtak benne össze. 1770-ben, az úrbéri…",ok
Farkaslyuk,Farkaslyuk,"Az Upponyi-hegységtől nyugatra, az Ózdi-patak völgyfőjében, medencedombsági területen épült fel. Miskolctól közúton 50 kilométerre nyugatra, Ózdtól 6 kilométerre délkeletre helyezkedik el. Környékén jelentős az erdők aránya. A legközelebbi település egyben a legközelebbi város is: a községtől északra fekvő Ózd legutolsó házai mindössze néhány száz méterre állnak Farkaslyuk északi részének utcáitól helyezkedik el.",ok
Kishuta,Kishuta,"A Zempléni-hegység középső részén helyezkedik el, a megyeszékhely Miskolctól közúton mintegy 90 kilométerre északkeletre, Sátoraljaújhelytől 20 kilométerre nyugatra. A közvetlenül szomszédos települések: északkelet felől Pálháza, kelet felől Kovácsvágás, dél felől Nagyhuta, északnyugat felől pedig Bózsva. Közúton Pálháza nyugati része felől érhető el, a 3708-as útból kiágazó 37 125-ös számú mellékúton.",ok
Zabar,Zabar,"Településrészei: Külső- és Belső-Zabar, Bárkányitanya, Hegyesbükkpuszta, Kútágapuszta, Malomútpuszta, Szőlőalja. Szomszédos települések: Cered (7,5 kilométer), Istenmezeje (8 kilométer), Domaháza (8 kilométer). A község természeti környezete, klímája jó lehetőséget nyújt erdei kirándulásokra, gombagyűjtésre helyezkedik el. A Novohrad-Nógrád UNESCO Globális Geopark települése.",ok
Pilisszentlászló,Pilisszentlászló,"Nevét I. (Szent) László királyról kapta. A kis hegyközi medencét minden oldalról miocén korú andezitvulkánok veszik körül. A jelentősebb magaslatok: Szent László-hegy (590 méter), Rózsa-hegy (549 méter), Öreg Pap-hegy (567 méter), Tüskés-hegy (510 méter). Pilisszentlászlóról könnyen elérhető a Visegrádi-hegység összes nevezetessége (Visegrád, Dobogó-kő, Rám-szakadék, Vörös-kő, Prédikáló-szék) Fő patakja az Apátkúti-patak, de a faluban ered a Lepence-patak egyik ága is.",ok
Dömös,Dömös,"Budapesttől 45, Esztergomtól 16, Visegrádtól 5 kilométer távolságban helyezkedik el. A településen a 11-es számú (Budapest-Visegrád-Esztergom) főközlekedési út halad át. Hajóúton Nagymarossal és Szobbal is összeköttetésben van. Ez a kedvező fekvésű vidék a legősibb időktől kezdve megtelepedésre csábította az embert. Az emberi település legkorábbi nyoma a község északkeleti részén az őskőkorszakból ismert.",ok
