settlement_name,wikipedia_title,wikipedia_page_id,photo_url,photo_thumb_url,photo_width,photo_height,photo_source,photo_attribution,wikipedia_article_url,fetch_status,fetch_note
Nagyhuta,Nagyhuta,21881,https://upload.wikimedia.org/wikipedia/commons/c/c3/Nagyhuta%2C_K%C5%91kapu_l%C3%A9gi_fot%C3%B3.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Nagyhuta%2C_K%C5%91kapu_l%C3%A9gi_fot%C3%B3.jpg,600,400,wikipedia,Wikipédia – Nagyhuta,https://hu.wikipedia.org/wiki/Nagyhuta,ok,
Háromhuta,Háromhuta,15454,https://upload.wikimedia.org/wikipedia/commons/7/71/%C3%9Ajhuta_Castle_Hotel_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/%C3%9Ajhuta_Castle_Hotel_2019.jpg/960px-%C3%9Ajhuta_Castle_Hotel_2019.jpg,800,532,wikipedia,Wikipédia – Háromhuta,https://hu.wikipedia.org/wiki/H%C3%A1romhuta,ok,
Istenmezeje,Istenmezeje,43691,https://upload.wikimedia.org/wikipedia/commons/9/99/Panorama_Istenmezeje5.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Panorama_Istenmezeje5.JPG/960px-Panorama_Istenmezeje5.JPG,800,534,wikipedia,Wikipédia – Istenmezeje,https://hu.wikipedia.org/wiki/Istenmezeje,ok,
Kissikátor,Kissikátor,18217,https://upload.wikimedia.org/wikipedia/commons/2/24/Kerektemplom2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Kerektemplom2.JPG/960px-Kerektemplom2.JPG,800,1067,wikipedia,Wikipédia – Kissikátor,https://hu.wikipedia.org/wiki/Kissik%C3%A1tor,ok,
Domaháza,Domaháza,13430,https://upload.wikimedia.org/wikipedia/commons/b/b6/Domah%C3%A1zi_templom.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Domah%C3%A1zi_templom.JPG/960px-Domah%C3%A1zi_templom.JPG,800,1067,wikipedia,Wikipédia – Domaháza,https://hu.wikipedia.org/wiki/Domah%C3%A1za,ok,
Borsodszentgyörgy,Borsodszentgyörgy,12593,https://upload.wikimedia.org/wikipedia/commons/4/4c/Borsodszentgy%C3%B6rgy%2C_J%C3%A9zus_Sz%C3%ADve-szents%C3%A9gf%C3%BClke_%C3%A9s_r%C3%B3mai_katolikus_templom_2021_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Borsodszentgy%C3%B6rgy%2C_J%C3%A9zus_Sz%C3%ADve-szents%C3%A9gf%C3%BClke_%C3%A9s_r%C3%B3mai_katolikus_templom_2021_01.jpg/960px-Borsodszentgy%C3%B6rgy%2C_J%C3%A9zus_Sz%C3%ADve-szents%C3%A9gf%C3%BClke_%C3%A9s_r%C3%B3mai_katolikus_templom_2021_01.jpg,800,1200,wikipedia,Wikipédia – Borsodszentgyörgy,https://hu.wikipedia.org/wiki/Borsodszentgy%C3%B6rgy,ok,
Répáshuta,Répáshuta,27080,https://upload.wikimedia.org/wikipedia/commons/9/9a/R%C3%A9p%C3%A1shuta_M%C5%B1vel%C5%91d%C3%A9si_H%C3%A1z.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/R%C3%A9p%C3%A1shuta_M%C5%B1vel%C5%91d%C3%A9si_H%C3%A1z.jpg/960px-R%C3%A9p%C3%A1shuta_M%C5%B1vel%C5%91d%C3%A9si_H%C3%A1z.jpg,800,600,wikipedia,Wikipédia – Répáshuta,https://hu.wikipedia.org/wiki/R%C3%A9p%C3%A1shuta,ok,
Bükkszentkereszt,Bükkszentkereszt,12760,https://upload.wikimedia.org/wikipedia/commons/f/f0/Temeto%2C_Bukkszentkereszt-01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Temeto%2C_Bukkszentkereszt-01.jpg/960px-Temeto%2C_Bukkszentkereszt-01.jpg,800,600,wikipedia,Wikipédia – Bükkszentkereszt,https://hu.wikipedia.org/wiki/B%C3%BCkkszentkereszt,ok,
Járdánháza,Járdánháza,17913,https://upload.wikimedia.org/wikipedia/commons/8/89/J%C3%A1rd%C3%A1nh%C3%A1za%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/J%C3%A1rd%C3%A1nh%C3%A1za%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg/960px-J%C3%A1rd%C3%A1nh%C3%A1za%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg,800,767,wikipedia,Wikipédia – Járdánháza,https://hu.wikipedia.org/wiki/J%C3%A1rd%C3%A1nh%C3%A1za,ok,
Vágáshuta,Vágáshuta,44062,https://upload.wikimedia.org/wikipedia/commons/0/09/V%C3%A1g%C3%A1shuta.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/V%C3%A1g%C3%A1shuta.JPG/960px-V%C3%A1g%C3%A1shuta.JPG,800,600,wikipedia,Wikipédia – Vágáshuta,https://hu.wikipedia.org/wiki/V%C3%A1g%C3%A1shuta,ok,
Bárna,Bárna,29196,https://upload.wikimedia.org/wikipedia/commons/7/74/A_k%C3%B6zs%C3%A9g_l%C3%A1tk%C3%A9pe%2C_szemben_a_Nagyboldogasszony-templom._N%C3%B3gr%C3%A1d_Megye%2C_B%C3%A1rna_1933._-_Fortepan_95491.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/A_k%C3%B6zs%C3%A9g_l%C3%A1tk%C3%A9pe%2C_szemben_a_Nagyboldogasszony-templom._N%C3%B3gr%C3%A1d_Megye%2C_B%C3%A1rna_1933._-_Fortepan_95491.jpg/960px-A_k%C3%B6zs%C3%A9g_l%C3%A1tk%C3%A9pe%2C_szemben_a_Nagyboldogasszony-templom._N%C3%B3gr%C3%A1d_Megye%2C_B%C3%A1rna_1933._-_Fortepan_95491.jpg,800,534,wikipedia,Wikipédia – Bárna,https://hu.wikipedia.org/wiki/B%C3%A1rna,ok,
Mátraszentimre,Mátraszentimre,42845,https://upload.wikimedia.org/wikipedia/commons/1/11/H%C3%A1rom_falu_temploma1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/H%C3%A1rom_falu_temploma1.jpg/960px-H%C3%A1rom_falu_temploma1.jpg,800,600,wikipedia,Wikipédia – Mátraszentimre,https://hu.wikipedia.org/wiki/M%C3%A1traszentimre,ok,
Óbánya,Óbánya,43497,https://upload.wikimedia.org/wikipedia/commons/6/67/%C3%93b%C3%A1nya_church.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/%C3%93b%C3%A1nya_church.JPG/960px-%C3%93b%C3%A1nya_church.JPG,800,600,wikipedia,Wikipédia – Óbánya,https://hu.wikipedia.org/wiki/%C3%93b%C3%A1nya,ok,
Somoskőújfalu,Somoskőújfalu,115844,https://upload.wikimedia.org/wikipedia/commons/2/2f/Somosk%C5%91%C3%BAjfalu%2C_l%C3%A1tk%C3%A9p_a_r%C3%B3mai_katolikus_templomt%C3%B3l_2022_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Somosk%C5%91%C3%BAjfalu%2C_l%C3%A1tk%C3%A9p_a_r%C3%B3mai_katolikus_templomt%C3%B3l_2022_01.jpg/960px-Somosk%C5%91%C3%BAjfalu%2C_l%C3%A1tk%C3%A9p_a_r%C3%B3mai_katolikus_templomt%C3%B3l_2022_01.jpg,800,533,wikipedia,Wikipédia – Somoskőújfalu,https://hu.wikipedia.org/wiki/Somosk%C5%91%C3%BAjfalu,ok,
Borsodnádasd,Borsodnádasd,12029,https://upload.wikimedia.org/wikipedia/commons/e/ef/Borsodn%C3%A1dasd%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Borsodn%C3%A1dasd%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg/960px-Borsodn%C3%A1dasd%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg,800,1200,wikipedia,Wikipédia – Borsodnádasd,https://hu.wikipedia.org/wiki/Borsodn%C3%A1dasd,ok,
Szilaspogony,Szilaspogony,45226,https://upload.wikimedia.org/wikipedia/commons/7/70/Szilaspogony%2C_r%C3%B3mai_katolikus_k%C3%A1polna_2021_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Szilaspogony%2C_r%C3%B3mai_katolikus_k%C3%A1polna_2021_01.jpg/960px-Szilaspogony%2C_r%C3%B3mai_katolikus_k%C3%A1polna_2021_01.jpg,800,1200,wikipedia,Wikipédia – Szilaspogony,https://hu.wikipedia.org/wiki/Szilaspogony,ok,
Farkaslyuk,Farkaslyuk,13586,https://upload.wikimedia.org/wikipedia/commons/e/ea/150912_Farkaslyuk_%2898a%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/150912_Farkaslyuk_%2898a%29.JPG/960px-150912_Farkaslyuk_%2898a%29.JPG,800,600,wikipedia,Wikipédia – Farkaslyuk,https://hu.wikipedia.org/wiki/Farkaslyuk,ok,
Kishuta,Kishuta,18202,https://upload.wikimedia.org/wikipedia/commons/f/fe/Kishuta_Roman_Catholic_church.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Kishuta_Roman_Catholic_church.jpg/960px-Kishuta_Roman_Catholic_church.jpg,800,1067,wikipedia,Wikipédia – Kishuta,https://hu.wikipedia.org/wiki/Kishuta,ok,
Zabar,Zabar,14863,https://upload.wikimedia.org/wikipedia/commons/f/f8/Zabari_r%C3%B3mai_katolikus_templom_12.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Zabari_r%C3%B3mai_katolikus_templom_12.jpg/960px-Zabari_r%C3%B3mai_katolikus_templom_12.jpg,800,1195,wikipedia,Wikipédia – Zabar,https://hu.wikipedia.org/wiki/Zabar,ok,
Pilisszentlászló,Pilisszentlászló,44960,https://upload.wikimedia.org/wikipedia/commons/5/56/Pilisszentl%C3%A1szl%C3%B3_k%C3%B6zpontja.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Pilisszentl%C3%A1szl%C3%B3_k%C3%B6zpontja.jpg/960px-Pilisszentl%C3%A1szl%C3%B3_k%C3%B6zpontja.jpg,800,601,wikipedia,Wikipédia – Pilisszentlászló,https://hu.wikipedia.org/wiki/Pilisszentl%C3%A1szl%C3%B3,ok,
Dömös,Dömös,44514,https://upload.wikimedia.org/wikipedia/commons/0/0a/Pr%C3%A9posts%C3%A1gi_romok_ThT.....JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Pr%C3%A9posts%C3%A1gi_romok_ThT.....JPG/960px-Pr%C3%A9posts%C3%A1gi_romok_ThT.....JPG,800,600,wikipedia,Wikipédia – Dömös,https://hu.wikipedia.org/wiki/D%C3%B6m%C3%B6s,ok,
Visegrád,Visegrád,38655,https://upload.wikimedia.org/wikipedia/commons/4/47/Visegr%C3%A1d_castle.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Visegr%C3%A1d_castle.jpg/960px-Visegr%C3%A1d_castle.jpg,800,543,wikipedia,Wikipédia – Visegrád,https://hu.wikipedia.org/wiki/Visegr%C3%A1d,ok,
Hangony,Hangony,15452,https://upload.wikimedia.org/wikipedia/commons/b/bc/Hangonyi_templom.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Hangonyi_templom.JPG/960px-Hangonyi_templom.JPG,800,1067,wikipedia,Wikipédia – Hangony,https://hu.wikipedia.org/wiki/Hangony,ok,
Szarvaskő,Szarvaskő,42634,https://upload.wikimedia.org/wikipedia/commons/d/de/Szarvask%C5%91_panor%C3%A1m%C3%A1ja_a_V%C3%A1rhegyr%C5%91l.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Szarvask%C5%91_panor%C3%A1m%C3%A1ja_a_V%C3%A1rhegyr%C5%91l.JPG/960px-Szarvask%C5%91_panor%C3%A1m%C3%A1ja_a_V%C3%A1rhegyr%C5%91l.JPG,800,600,wikipedia,Wikipédia – Szarvaskő,https://hu.wikipedia.org/wiki/Szarvask%C5%91,ok,
